"field","label","description","temporal","category","subcategory","identifier"
"id","Medical record number","Medical record number","0","Demographics",,"1"
"fhir-id","Patient FHIR ID","Patient FHIR ID","0","Demographics",,"1"
"address-city","Address (city)","Address (city)","0","Demographics",,"0"
"address-district","Address (district/county)","Address (district/county)","0","Demographics",,"0"
"address-country","Address (country)","Address (country)","0","Demographics",,"0"
"address-postalCode","Address (postal code)","Address (postal code)","0","Demographics",,"0"
"address-state","Address (state)","Address (state)","0","Demographics",,"0"
"address-line","Address (street)","Address (street)","0","Demographics",,"0"
"birthDate","Date of birth","Date of birth","0","Demographics",,"0"
"name-given","First name","First name","0","Demographics",,"0"
"name-family","Last name","Last name","0","Demographics",,"0"
"phone-home","Phone number (home)","Phone number (home)","0","Demographics",,"0"
"phone-mobile","Phone number (mobile)","Phone number (mobile)","0","Demographics",,"0"
"email","Email address","Email address","0","Demographics",,"0"
"email-2","Secondary email address","Secondary email address","0","Demographics",,"0"
"email-3","Tertiary email address","Tertiary email address","0","Demographics",,"0"
"gender","Sex","Sex","0","Demographics",,"0"
"race","Race","Race","0","Demographics",,"0"
"ethnicity","Ethnicity","Ethnicity","0","Demographics",,"0"
"deceasedBoolean","Is deceased","Is deceased","0","Demographics",,"0"
"deceasedDateTime","Date and time of death (if deceased)","Date and time of death (if deceased)","0","Demographics",,"0"
"preferred-language","Preferred language","Preferred language","0","Demographics",,"0"
"general-practitioner","General practitioner","General practitioner","0","Demographics",,"0"
"managing-organization","Managing organization","Managing organization","0","Demographics",,"0"
"pronouns","Pronouns","Pronouns","0","Demographics",,"0"
"marital-status","Marital status","Marital status","0","Demographics",,"0"
"contact-relationship-1","Contact relationship #1","Contact relationship #1","0","Demographics",,"0"
"contact-name-1","Contact name #1","Contact name #1","0","Demographics",,"0"
"contact-phone-1","Contact phone #1","Contact phone #1","0","Demographics",,"0"
"contact-relationship-2","Contact relationship #2","Contact relationship #2","0","Demographics",,"0"
"contact-name-2","Contact name #2","Contact name #2","0","Demographics",,"0"
"contact-phone-2","Contact phone #2","Contact phone #2","0","Demographics",,"0"
"contact-relationship-3","Contact relationship #3","Contact relationship #3","0","Demographics",,"0"
"contact-name-3","Contact name #3","Contact name #3","0","Demographics",,"0"
"contact-phone-3","Contact phone #3","Contact phone #3","0","Demographics",,"0"
"problem-list","All problem list and health concerns","All problems and health concerns","0","Condition - Problems",,"0"
"active-problem-list","Active problems and health concerns","Active problems and health concerns","0","Condition - Problems",,"0"
"recurrence-problem-list","Recurrence problems and health concerns","Recurrence problems and health concerns","0","Condition - Problems",,"0"
"relapse-problem-list","Relapse problems and health concerns","Relapse problems and health concerns","0","Condition - Problems",,"0"
"inactive-problem-list","Inactive problems and health concerns","Inactive problems and health concerns","0","Condition - Problems",,"0"
"remission-problem-list","Remission problems and health concerns","Remission problems and health concerns","0","Condition - Problems",,"0"
"resolved-problem-list","Resolved problems and health concerns","Resolved problems and health concerns","0","Condition - Problems",,"0"
"unknown-problem-list","Unknown problems and health concerns","Unknown problems and health concerns","0","Condition - Problems",,"0"
"medications-list","All medications","All medications","0","Medications",,"0"
"active-medications-list","Active medications","Active medications","0","Medications",,"0"
"completed-medications-list","Completed medications","Completed medications","0","Medications",,"0"
"on-hold-medications-list","On hold medications","On hold medications","0","Medications",,"0"
"stopped-medications-list","Stopped medications","Stopped medications","0","Medications",,"0"
"allergy-list","Allergy intolerance","Allergy intolerance","0","Allergy Intolerance",,"0"
"8302-2","Body height","Body height","1","Vital Signs",,"0"
"8310-5","Body temperature","Body temperature","1","Vital Signs",,"0"
"3141-9","Body weight","Body weight","1","Vital Signs",,"0"
"8867-4","Heart rate","Heart rate","1","Vital Signs",,"0"
"9279-1","Respiratory rate","Respiratory rate","1","Vital Signs",,"0"
"8480-6","Systolic blood pressure","Systolic blood pressure","1","Vital Signs",,"0"
"86908-1","Systolic blood pressure goal","Systolic blood pressure goal","1","Vital Signs",,"0"
"8459-0","Systolic blood pressure--sitting","Systolic blood pressure--sitting","1","Vital Signs",,"0"
"8460-8","Systolic blood pressure--standing","Systolic blood pressure--standing","1","Vital Signs",,"0"
"8461-6","Systolic blood pressure--supine","Systolic blood pressure--supine","1","Vital Signs",,"0"
"8462-4","Diastolic blood pressure","Diastolic blood pressure","1","Vital Signs",,"0"
"8453-3","Diastolic blood pressure--sitting","Diastolic blood pressure--sitting","1","Vital Signs",,"0"
